sample_id,sample_num,condition,timepoint,replicate,fastq_path
BM9FTP_1_EV_D0_rep1,1,EV,D0,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_1_EV_D0_rep1.fastq.gz
BM9FTP_2_EV_D0_rep2,2,EV,D0,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_2_EV_D0_rep2.fastq.gz
BM9FTP_3_EV_D0_rep3,3,EV,D0,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_3_EV_D0_rep3.fastq.gz
BM9FTP_4_PLZF_D0_rep1,4,PLZF,D0,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_4_PLZF_D0_rep1.fastq.gz
BM9FTP_5_PLZF_D0_rep2,5,PLZF,D0,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_5_PLZF_D0_rep2.fastq.gz
BM9FTP_6_PLZF_D0_rep3,6,PLZF,D0,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_6_PLZF_D0_rep3.fastq.gz
BM9FTP_7_EV_D1_rep1,7,EV,D1,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_7_EV_D1_rep1.fastq.gz
BM9FTP_8_EV_D1_rep2,8,EV,D1,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_8_EV_D1_rep2.fastq.gz
BM9FTP_9_EV_D1_rep3,9,EV,D1,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_9_EV_D1_rep3.fastq.gz
BM9FTP_10_PLZF_D1_rep1,10,PLZF,D1,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_10_PLZF_D1_rep1.fastq.gz
BM9FTP_11_PLZF_D1_rep2,11,PLZF,D1,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_11_PLZF_D1_rep2.fastq.gz
BM9FTP_12_PLZF_D1_rep3,12,PLZF,D1,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_12_PLZF_D1_rep3.fastq.gz
BM9FTP_13_EV_D2_rep1,13,EV,D2,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_13_EV_D2_rep1.fastq.gz
BM9FTP_14_EV_D2_rep2,14,EV,D2,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_14_EV_D2_rep2.fastq.gz
BM9FTP_15_EV_D2_rep3,15,EV,D2,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_15_EV_D2_rep3.fastq.gz
BM9FTP_16_PLZF_D2_rep1,16,PLZF,D2,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_16_PLZF_D2_rep1.fastq.gz
BM9FTP_17_PLZF_D2_rep2,17,PLZF,D2,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_17_PLZF_D2_rep2.fastq.gz
BM9FTP_18_PLZF_D2_rep3,18,PLZF,D2,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_18_PLZF_D2_rep3.fastq.gz
BM9FTP_19_EV_D3_rep1,19,EV,D3,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_19_EV_D3_rep1.fastq.gz
BM9FTP_20_EV_D3_rep2,20,EV,D3,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_20_EV_D3_rep2.fastq.gz
BM9FTP_21_EV_D3_rep3,21,EV,D3,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_21_EV_D3_rep3.fastq.gz
BM9FTP_22_PLZF_D3_rep1,22,PLZF,D3,1,$DATA_ROOT/BM9FTP_fastq/BM9FTP_22_PLZF_D3_rep1.fastq.gz
BM9FTP_23_PLZF_D3_rep2,23,PLZF,D3,2,$DATA_ROOT/BM9FTP_fastq/BM9FTP_23_PLZF_D3_rep2.fastq.gz
BM9FTP_24_PLZF_D3_rep3,24,PLZF,D3,3,$DATA_ROOT/BM9FTP_fastq/BM9FTP_24_PLZF_D3_rep3.fastq.gz
